https,csp,hsts,x_frame_options,x_content_type_options,secure_cookie,httponly_cookie,samesite_cookie,num_forms,password_fields,url_length,query_parameters,external_scripts,inline_scripts,http_status,sql_error_indicator,reflected_payload_indicator,server_error_indicator,mixed_content_count,exposed_paths,blind_sqli_indicator,dom_xss_indicator,csrf_missing_token,unsafe_upload_indicator,weak_session_indicator,weak_csp_indicator,open_redirect_indicator,command_input_surface,file_path_input_surface,stored_input_surface,file_upload_surface,login_surface,api_surface,label
1,1,1,0,1,1,1,0,4,0,110,3,13,6,200,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,MEDIUM
1,1,0,1,1,1,1,1,0,0,93,4,4,5,301,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIGH
1,0,1,1,1,1,1,1,4,2,122,1,6,10,302,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,CRITICAL
1,1,0,1,1,1,1,1,0,0,140,1,20,7,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,LOW
1,0,1,1,0,0,0,1,2,0,92,2,20,1,200,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,MEDIUM
0,1,0,1,1,0,0,1,3,0,52,1,3,1,200,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,HIGH
1,1,1,1,1,1,1,1,3,0,21,1,11,7,302,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SAFE
1,1,0,1,1,1,1,1,4,0,33,2,5,5,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOW
1,1,0,1,1,1,0,1,3,0,145,0,12,7,200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,MEDIUM
1,1,0,1,1,1,1,1,4,0,121,4,2,7,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOW
1,1,1,1,1,1,0,1,1,1,124,2,19,2,301,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,CRITICAL
1,1,1,1,1,1,1,1,0,0,144,0,16,2,200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,LOW
1,1,1,1,1,1,1,0,2,0,41,3,11,4,200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,LOW
1,1,1,1,1,1,1,1,4,0,59,3,11,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SAFE
1,1,1,1,1,1,1,1,3,0,30,2,14,8,200,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CRITICAL
0,1,0,1,1,0,1,1,4,1,68,3,17,10,200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,HIGH
1,1,1,1,1,1,1,1,0,0,115,3,17,7,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SAFE
1,1,1,1,1,1,1,0,4,0,137,1,24,5,200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,LOW
1,1,1,1,1,1,1,1,2,2,47,0,13,7,200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,LOW
1,0,1,1,1,1,0,1,3,0,21,2,17,9,200,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,MEDIUM
1,0,1,1,1,1,1,1,1,0,146,3,2,3,200,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,HIGH
1,1,1,1,1,1,1,1,2,0,108,1,7,3,200,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,HIGH
1,1,1,1,1,1,1,1,4,0,19,4,18,2,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAFE
1,1,1,1,1,1,1,0,4,0,36,1,1,5,200,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,LOW
1,1,0,1,0,1,0,0,1,0,134,3,0,0,200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,MEDIUM
0,1,0,1,1,0,1,1,0,0,30,1,23,5,302,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,CRITICAL
0,1,0,1,1,1,1,1,3,2,134,3,15,10,302,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CRITICAL
0,1,0,0,1,0,1,1,4,0,99,3,9,2,301,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,HIGH
1,1,0,1,1,1,1,1,3,1,73,2,7,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,LOW
1,1,1,1,1,0,1,0,0,0,126,1,28,1,200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,MEDIUM
1,1,1,1,1,1,1,1,1,0,18,1,13,9,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,HIGH
1,1,1,1,1,1,1,0,0,0,140,0,12,3,200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,LOW
0,1,0,1,1,0,1,0,2,2,133,3,25,0,200,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,CRITICAL
1,1,0,1,1,1,1,1,4,0,21,3,6,7,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOW
1,1,1,1,0,1,1,1,1,0,34,3,7,9,200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM
1,1,1,1,1,1,1,1,3,0,127,1,25,9,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRITICAL
1,1,1,1,1,1,1,1,0,0,76,4,21,5,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAFE
1,1,1,1,1,1,1,1,2,0,125,0,0,4,200,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,LOW
0,1,0,1,1,0,0,1,0,0,138,2,17,10,200,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,CRITICAL
0,1,0,1,0,0,1,1,3,0,91,4,15,4,200,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,CRITICAL
0,1,0,1,1,0,1,1,2,0,115,2,16,4,301,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,HIGH
0,1,0,1,1,0,1,0,2,0,94,3,5,10,200,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,CRITICAL
1,1,1,1,0,0,1,0,3,0,66,1,2,4,200,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,MEDIUM
1,1,1,1,1,0,1,0,0,0,81,2,12,8,302,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,MEDIUM
1,1,1,1,1,0,1,0,3,0,55,4,19,8,200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,MEDIUM
1,1,0,1,1,1,1,0,1,0,96,4,23,0,200,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,HIGH
1,1,1,1,1,1,1,1,3,0,131,2,10,1,200,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,LOW
1,1,1,1,1,1,1,1,3,0,56,0,7,4,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,SAFE
0,1,0,1,1,0,1,1,4,0,41,1,23,4,200,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,CRITICAL
1,1,1,1,0,1,1,1,0,0,140,1,11,8,500,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,HIGH
1,1,1,1,1,1,1,1,4,0,125,3,24,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAFE
1,1,1,1,1,1,1,1,4,0,60,3,11,7,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HIGH
1,0,0,1,1,0,1,0,3,0,67,2,17,9,200,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,MEDIUM
1,1,0,0,1,0,0,1,4,0,109,4,22,10,200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,MEDIUM
1,1,1,1,1,1,1,1,0,0,148,4,5,9,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,SAFE
1,1,1,1,1,1,1,1,0,0,140,1,12,6,302,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CRITICAL
1,1,0,1,0,1,1,1,2,0,21,0,8,1,200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM
1,1,1,1,1,1,1,0,4,0,100,1,10,8,302,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,CRITICAL
1,1,1,1,1,1,1,0,2,1,125,3,21,3,200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,LOW
1,1,1,1,1,1,1,1,3,0,54,1,21,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAFE
0,0,0,1,1,1,1,1,0,0,130,1,27,0,200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,HIGH
1,1,0,1,1,0,0,0,2,0,125,3,9,4,301,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,MEDIUM
1,1,1,1,1,1,1,1,1,0,97,2,19,4,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAFE
1,1,1,1,1,1,1,0,2,0,48,1,0,4,301,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,LOW
1,1,1,1,1,1,1,1,0,0,132,4,8,1,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRITICAL
1,1,1,1,1,1,1,1,0,0,118,4,27,9,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HIGH
1,1,1,1,1,1,1,1,3,0,65,2,23,9,301,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,SAFE
1,1,1,1,1,1,1,1,3,2,93,4,11,3,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SAFE
